egrt,surname,first_name,id,simon_id,first_name_alt,surname_alt,date_of_birth,date_of_death,active_beginning,active_ending,guild,occupation_rank_1,occupation_rank_2,occupation_rank_3,occupation_rank_4,books_owned_by,made_instruments_for,made_instruments_designed_by,owned_instruments_by,supplied_instruments_to,used_instruments_by,published_books_by,edited_work_by,wrote_treatise_on_instrument_by,sold_books_by,sold_map_by,published_map_by,translated_books_by,worked_with,partnership_with,studied_with,friend_of,associated_with,visited,see_also,designed_instruments_for,sold_instruments_by,demonstrated_instruments_to,observed_experiment_by,conducted_experiment_with,tested_instruments_by,improved_instruments_designed_by,modified_instrument_by,copied_instrument_by,advertised_by,succeeded_by,son_of,brother_of,nephew_of,apprentice_of,pupil_of,patron_of,relation_of,son_in_law_of,shared_premises_with,lodged_with,referenced_by,recommended_by,disputed_with,rival_of,employed_by,pract_identity,group_id
1.0,Kratzer,Nicholas,DC86D1BA,,,,1486,1550,,,,Mathematical practitioner,Mathematical instrument maker,Astronomer,,387CA997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kratzer Nicholas DC86D1BA 1486 1550,0
2.0,Gemini,Thomas,0130014D,63,,"Lamprecht, Lambert, Lambrit",,1562,1524,1562,Stationers,Mathematical instrument maker,Engraver,Stationer,,,55DDA67E; EC011939,,,,,BB565E43,,,,,,,9851054C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gemini Thomas 0130014D nan 1562,0
3.0,Barlow,Roger,9376A1ED,,,,,1554,1526,1554,,Navigator,Mathematical Practitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barlow Roger 9376A1ED nan 1554,0
4.0,Digges,Leonard,BB565E43,,,,1510,1558,,,,Author,Mathematician,,,,,,,,,,,,,,,,,,,387CA997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digges Leonard BB565E43 1510 1558,0
5.0,Record,Robert,F31EE9B4,,,,1510,1558,,,,Author,Mathematician,Teacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E5FFD65F,,,,Record Robert F31EE9B4 1510 1558,0
6.0,Lee,Richard,B98C439B,,,,,,1532,1540,,Hydrographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lee Richard B98C439B nan nan,1
7.0,Aborough,John,E0840029,,,,,,1533,1542,,Navigator,Gunner,,,,,,,,,,,,,,,,F7FB2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aborough John E0840029 nan nan,0
8.0,Bartelot,John,7709AAEC,,,Bartlet,,,1540,1546,,Hydrographer,,,,,,,,,,,,,,,,,E0840029; F7FB2275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bartelot John 7709AAEC nan nan,0
9.0,Cheke,John,55DDA67E,,,,1514,1557,1530,1557,,Mathematician,Teacher,,,,,,,,,,,,,,,,0130014D,,,,,,387CA997,EC011939,,,,,,,,,,,,,,,,,,,,,,,,,,Cheke John 55DDA67E 1514 1557,0
10.0,Alday,James,41CC9F17,,,,1516,1576,,,,Navigator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alday James 41CC9F17 1516 1576,0
11.1,Benese,Richard,A4B14040,,,,,,1537,1547,,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Benese Richard A4B14040 nan nan,0
11.2,Le Seney,Sebastian,40A7DBA1,464,Bastian,Leseney,,,1538,1547,,Clockmaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Le Seney Sebastian 40A7DBA1 nan nan,0
12.0,Caundish,Richard,F7FB2275,,,Cavendish,,,1539,1600,,Mathematician,Hydrographer,,,,,,,,,,,,,,,,E0840029; 7709AAEC,,,387CA997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caundish Richard F7FB2275 nan nan,0
13.0,Adams,Clement,90FBCE80,,,,1519,1587,,,,Mathematician,Teacher,,,,,,,,,,,,,,,,,,,,,,55DDA67E,,,,,,,,,,,EC011939,,,,,,,,,,,,,,,,Adams Clement 90FBCE80 1519 1587,0
14.0,Buckley,William,EC011939,,,,1519,1571,,,,Mathematician,Teacher,,,,,,,,,,,,,,,,55DDA67E,,,,,,,,,,,,,,,,,90FBCE80,,,,,,,,,,,,,,,,Buckley William EC011939 1519 1571,0
15.0,Rotz,John,BF7E24A2,,Jean,Ross,,,1540,1548,,Navigator,Hydrographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotz John BF7E24A2 nan nan,0
16.0,Chancellor,Richard,88CC594E,,,,,,1526,1556,,Navigator,Mathematical instrument maker,,,,,,,,,,,,,,,,,,,387CA997,,,,,,,,,,,,,,,,,,,,,,,,,2D0F71CC; 387CA997,,,,,Chancellor Richard 88CC594E nan nan,0
17.0,Dee,John,387CA997,,,,1527,1608,,,,Mathematician,Author,Astrologer,Alchemist,,,,,,,,,,,,,,,,,55DDA67E,,,2D0F71CC,,,,,,,,,,,,,,,,,,,,,,,,,,,Dee John 387CA997 1527 1608,0
18.0,B.,W.,72537C72,,,,,,1551,,,Mathematical instrument maker,,,,,,,,,,,,,,,,,55DDA67E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B. W. 72537C72 nan nan,0
19.0,Billingsley,Henry,E35F2069,,,,,,1551,1606,,Mathematician,Author,,,,,,,,,,,,,,,387CA997,387CA997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Billingsley Henry E35F2069 nan nan,0
20.0,Borough,Stephen,9A940705,,,,,,1530,1584,,Navigator,Author,,,,,,,,,,,,,,,,88CC594E; 17CE5F99; 387CA997,,,,,,,,,,,,,,,,,,,17CE5F99,,,,,,,,,,,,,,Borough Stephen 9A940705 nan nan,0
21.0,Cole,Humfrey,9851054C,65,Humphrey,Coole,1530,1591,,,,Mathematical instrument maker,Prospector,Engraver,,,,,,,,,,,,,,,0130014D,,,,,,,,2D0F71CC,,,,,,,,,,,,,,,,,,,,EA7E7E6E,,,,,Cole Humfrey 9851054C 1530 1591,0
22.0,Cuningham,William,DF82F6BD,,,,1531,1586,,,,Mathematician,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cuningham William DF82F6BD 1531 1586,0
23.0,Hill,Thomas,940A4506,,,,1553,1575,,,,Mathematician,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hill Thomas 940A4506 1553 1575,2
24.0,Allen,Thomas,DA16E48E,,,,1534,1630,,,,Mathematical practitioner,Astrologer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allen Thomas DA16E48E 1534 1630,0
25.0,Baker,Humfrey,5FE3C970,,,,,,1557,1587,,Mathematician,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78348CA7 (possibly),,,,,Baker Humfrey 5FE3C970 nan nan,0
26.0,Borough,William,17CE5F99,,,,1537,1598,,,,Navigator,Hydrographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Borough William 17CE5F99 1537 1598,0
27.0,Blundeville,Thomas,56D20427,,,,,,1560,1602,,Mathematician,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blundeville Thomas 56D20427 nan nan,0
29.0,Norman,Robert,10C4A6E5,,,,,,1560,1570,,Navigator,Compass maker,Hydrographer,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Norman Robert 10C4A6E5 nan nan,0
30.0,Adams,Robert,2566A4F1,,,,1540,1595,,,,Hydrographer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adams Robert 2566A4F1 1540 1595,0
31.0,Gilbert,William,44F29E47,,,,1540,1603,,,,Mathematician,Natural philosopher,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilbert William 44F29E47 1540 1603,0
32.0,Leigh,Valentine,AD0A11E0,,,,1562,1592,1587,,,Surveyor,Author,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leigh Valentine AD0A11E0 1562 1592,0
33.0,Popinjay,Richard,24893F98,,,,,,1563,1587,,Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Popinjay Richard 24893F98 nan nan,0
34.0,Saxton,Christopher,7EB4B8AA,,,,1542,1610,1569,1610,,Mapmaker,Engraver,Surveyor,,,,,,,,,,,,,,,1CD3CDE5 (possibly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387CA997,Saxton Christopher 7EB4B8AA 1542 1610,0
35.0,Digges,Thomas,2D0F71CC,,,,1543,1595,,,,Mathematical practitioner,Author,Mathematician,Astronomer,1C1703FA,,,,,,BB565E43,,,,,,,,,,387CA997,,,,,,,,,,,,,,,BB565E43,,,,387CA997,,,,,,,,,,,Digges Thomas 2D0F71CC 1543 1595,0
36.0,Lucar,Cyprian,02219BF8,,,,1544,,1590,,,Mathematical practitioner,Author,,,,,,,,,,,,,,,,,,,,,10C4A6E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucar Cyprian 02219BF8 1544 nan,0
37.0,Barlow,William,66EFDA0B,,,,1544,1625,,,,Navigator,Author,,,,,,,,,,,,,,,,,,,,,,,83A1DCF0,,,,,,,,,,,,,9376A1ED,,,,,,,,EB857C4B,,,,,Barlow William 66EFDA0B 1544 1625,0
38.0,Bourne,William,54072F69,,,,1565,1588,,,,Mathematical practitioner,Gunner,Author,,"38784FA8, D6B1D9F6, 8ECE9526, 0B1ABF80",,,,,,,,,,,,,,,,,,,DF82F6BD,,,,,,,,,,,,,,,,,,,,,,,,,,,Bourne William 54072F69 1565 1588,0
39.0,Newsam,Bartholomew,5D4E65E3,70,,Newsum,,1593,1565,1593,,Clockmaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newsam Bartholomew 5D4E65E3 nan 1593,0
40.0,Agas,Ralph,78348CA7,,,,1545,1621,,,,Mapmaker,Surveyor,,,,,,,,,,,,,,,,,,,,,,2D0F71CC; BB565E43,,,,,,,,,,,,,,,,,,,,,,,,,,,Agas Ralph 78348CA7 1545 1621,0
41.0,Bedwell,Thomas,BC1C63D9,,,,1546,1595,,,,Mathematical practitioner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bedwell Thomas BC1C63D9 1546 1595,0
42.0,Lythe,Robert,1CD3CDE5,,,,,,1567,1573,,Surveyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lythe Robert 1CD3CDE5 nan nan,0
